Fuel_consumption,Engine_speed,Engine_coolant_temperature,Current_Gear,Vehicle_speed
268.8,929,95,0,0
243.2,726,95,0,0
217.6,685,95,0,0
204.8,675,95,0,0
217.6,716,95,0,0
243.2,740,95,0,0
217.6,682,94,14,0
294.4,670,94,14,0
332.8,655,94,14,0
358.4,648,94,14,0
409.6,659,93,14,0
435.2,663,93,14,0
384,659,93,14,0
396.8,668,93,14,1
473.6,742,93,14,2
473.6,759,93,14,3
473.6,761,93,14,3
473.6,766,93,14,3
473.6,769,93,14,4
473.6,768,93,14,4
486.4,767,93,14,4
473.6,770,92,14,3
486.4,768,92,14,3
473.6,765,92,14,1
448,724,92,0,0
384,673,92,0,0
307.2,658,91,0,0
307.2,658,91,1,0
396.8,673,91,1,0
435.2,726,90,1,0
460.8,747,90,1,2
460.8,758,90,1,2
448,763,90,1,3
486.4,796,90,1,3
588.8,978,90,1,4
486.4,891,89,1,4
550.4,1029,89,1,5
422.4,854,88,1,4
524.8,975,88,1,5
512,999,87,1,5
524.8,1064,87,1,5
742.4,1277,87,1,6
832,1453,87,1,8
844.8,1643,87,1,9
627.2,1610,87,1,10
409.6,1112,86,1,10
960,1666,86,1,11
1190.4,1786,86,2,13
1254.4,1692,86,2,15
896,1717,85,2,17
627.2,1664,85,2,17
460.8,1466,85,2,17
921.6,1634,85,2,16
1753.6,2011,85,2,19
1228.8,2072,85,2,21
537.6,1450,85,3,21
512,1306,85,3,21
486.4,1262,85,3,21
460.8,1206,85,3,20
435.2,1138,85,3,19
435.2,1080,85,3,19
537.6,1169,85,3,18
1100.8,1507,85,3,18
1792,1766,85,3,19
2073.6,1858,85,3,20
2176,1898,85,3,21
2252.8,1956,85,3,22
2316.8,2010,85,3,23
2393.6,2076,85,3,25
2483.2,2129,85,3,26
2534.4,2180,85,3,28
1600,2028,85,3,29
742.4,1830,85,3,28
819.2,1797,85,3,27
857.6,1776,85,3,26
1049.6,1824,86,3,27
1920,2035,86,3,28
2457.6,2212,86,3,30
793.6,1886,86,3,30
985.6,1464,86,4,27
755.2,1245,86,4,23
1536,1803,86,3,22
2124.8,1965,86,3,23
1075.2,1645,86,3,23
1907.2,1897,86,3,23
1625.6,1813,86,3,23
832,1536,86,3,21
1856,1842,86,3,21
2227.2,1960,86,3,21
2355.2,2045,86,3,22
2380.8,2061,86,3,24
1651.2,1882,86,3,24
665.6,1518,86,3,23
588.8,1334,86,3,20
537.6,1157,86,3,17
537.6,996,86,3,12
665.6,982,87,3,8
1766.4,1730,87,1,8
2380.8,2146,87,1,12
3187.2,2682,87,1,16
4006.4,3385,87,1,21
1651.2,2474,87,2,23
435.2,1450,87,3,20
460.8,1159,87,3,17
499.2,978,86,3,12
524.8,886,86,3,6
563.2,958,86,1,4
755.2,1242,86,1,5
704,1132,86,1,5
1152,1536,86,1,7
563.2,1233,86,1,7
409.6,997,86,1,5
448,809,86,1,3
486.4,786,87,1,0
422.4,702,87,1,0
409.6,687,87,1,0
371.2,682,87,1,0
371.2,678,87,1,0
384,678,87,1,0
358.4,673,87,1,0
448,755,87,1,0
1024,1353,87,1,3
448,924,87,1,5
422.4,805,87,1,3
460.8,789,87,1,2
448,795,87,1,3
678.4,1138,87,1,5
742.4,1376,87,1,7
1216,1891,87,1,11
1984,2090,88,2,16
2649.6,2333,88,2,22
2803.2,2817,87,2,28
716.8,2018,87,3,32
716.8,1630,87,4,34
665.6,1713,87,4,35
601.6,1657,87,4,34
204.8,1367,87,4,31
332.8,1306,87,4,28
345.6,940,87,4,24
345.6,908,87,3,22
486.4,1178,87,3,20
435.2,1099,87,3,18
422.4,977,87,3,15
460.8,889,87,3,11
460.8,835,87,3,7
460.8,801,87,1,2
435.2,753,87,1,0
384,689,87,1,0
371.2,680,87,1,0
358.4,679,87,1,0
371.2,678,87,1,0
358.4,676,87,1,0
358.4,673,87,1,0
358.4,671,87,1,0
358.4,672,87,1,0
358.4,671,87,1,0
358.4,671,87,1,0
371.2,671,87,1,0
358.4,671,87,1,0
358.4,672,87,1,0
371.2,670,87,1,0
358.4,670,87,1,0
371.2,668,87,1,0
371.2,669,87,1,0
371.2,669,87,1,0
371.2,670,87,1,0
371.2,670,87,1,0
371.2,669,87,1,0
371.2,666,87,1,0
384,667,87,1,0
371.2,667,87,1,0
371.2,668,87,1,0
371.2,666,87,1,0
384,668,87,1,0
371.2,670,87,1,0
371.2,669,87,1,0
384,670,87,1,0
371.2,670,87,1,0
371.2,672,87,1,0
384,669,87,1,0
371.2,670,87,1,0
371.2,668,87,1,0
384,669,87,1,0
371.2,668,87,1,0
371.2,668,87,1,0
384,667,87,1,0
371.2,669,87,1,0
358.4,671,87,1,0
384,669,87,1,0
371.2,668,87,1,0
371.2,669,87,1,0
371.2,669,87,1,0
371.2,669,87,1,0
371.2,668,87,1,0
371.2,671,87,1,0
384,669,87,1,0
371.2,669,87,1,0
384,671,87,1,0
371.2,668,87,1,0
371.2,672,87,1,0
371.2,670,87,1,0
371.2,671,87,1,0
371.2,670,87,1,0
384,670,87,1,0
371.2,670,87,1,0
371.2,670,87,1,0
371.2,672,87,1,0
371.2,679,87,1,1
486.4,900,87,1,5
409.6,1016,87,1,8
422.4,1069,87,1,12
409.6,1134,87,2,14
384,1350,87,2,16
320,1151,87,2,17
332.8,1102,87,2,17
448,1320,87,2,18
883.2,1967,87,2,20
1574.4,1894,87,3,22
1804.8,1917,87,3,25
1920,1948,86,3,28
1497.6,1978,86,3,31
691.2,1672,86,4,31
371.2,1419,85,4,30
435.2,1420,85,4,29
691.2,1491,84,4,29
1164.8,1685,84,4,30
1420.8,1792,84,4,31
1484.8,1726,84,4,32
1382.4,1654,84,4,34
1267.2,1667,84,4,35
640,1620,84,4,34
166.4,1460,84,4,33
0,1453,84,4,30
1024,1592,84,4,29
1497.6,1818,84,4,30
409.6,1392,84,4,30
358.4,1224,84,4,27
345.6,998,84,4,21
396.8,990,84,3,16
435.2,928,84,3,13
435.2,864,85,3,11
422.4,840,85,3,11
409.6,841,85,3,11
371.2,862,85,3,13
371.2,915,85,3,14
358.4,958,85,3,16
460.8,1168,85,3,17
358.4,1110,85,3,19
345.6,1116,85,3,20
371.2,1179,85,3,21
486.4,1455,86,3,23
448,1508,86,3,24
486.4,1595,86,3,25
422.4,1487,86,3,26
422.4,1475,86,3,27
409.6,1496,86,3,28
384,1472,86,3,28
384,1472,86,3,28
576,1727,85,3,28
1164.8,1910,85,3,28
883.2,1884,85,3,29
1203.2,2022,85,3,30
985.6,1981,84,3,31
729.6,1598,84,4,31
806.4,1579,84,4,32
1254.4,1619,84,4,33
1651.2,1727,84,4,36
1369.6,1824,84,4,38
422.4,1802,84,4,38
883.2,1832,84,4,38
1036.8,1873,84,4,39
908.8,1903,84,4,40
345.6,1871,84,4,39
422.4,1847,84,4,38
652.8,1842,84,4,38
793.6,1856,84,4,38
678.4,1847,84,4,39
358.4,1774,84,4,38
1113.6,1858,84,4,38
576,1823,84,4,38
166.4,1765,84,4,37
51.2,1692,84,4,35
537.6,1668,84,4,35
448,1611,84,4,34
320,1528,84,4,34
192,1565,84,4,32
524.8,1518,84,4,32
473.6,1527,84,4,32
1216,1575,84,4,32
729.6,1574,84,4,33
140.8,1538,84,4,32
0,1466,84,4,31
0,1385,84,4,29
12.8,1259,84,4,27
307.2,977,84,4,26
345.6,978,84,4,25
358.4,939,84,4,21
409.6,1020,84,3,17
460.8,922,84,3,12
460.8,855,84,3,8
435.2,808,84,1,3
396.8,763,84,1,0
332.8,681,84,1,0
345.6,678,84,1,0
332.8,672,84,1,0
345.6,668,84,1,0
332.8,667,84,1,0
332.8,667,84,1,0
345.6,670,84,1,0
332.8,664,85,1,0
345.6,663,85,1,0
332.8,666,85,1,0
332.8,667,85,1,0
345.6,664,86,1,0
358.4,669,86,1,0
345.6,662,86,1,0
345.6,665,86,1,0
345.6,664,86,1,0
345.6,665,87,1,0
358.4,666,87,1,0
358.4,666,87,1,0
345.6,670,87,1,0
